"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.169684448829832,-0.16908011974503,-0.170219329742604,0.000236636137228522,179,"Dataset 1","Little noise",-0.181516255691258,-0.157852641968406
-0.169115854570732,-0.168666408595639,-0.169606332690999,0.000230052689354568,180,"Dataset 1","Little noise",-0.18061848903846,-0.157613220103004
-0.168385084255204,-0.167921240198689,-0.168957178681379,0.00024719973320406,181,"Dataset 1","Little noise",-0.180745070915407,-0.156025097595001
-0.167624783216604,-0.166980826427651,-0.168244501281678,0.000276750414445938,182,"Dataset 1","Little noise",-0.181462303938901,-0.153787262494307
-0.167062323440926,-0.166648146287227,-0.168051530883959,0.000255219702965758,183,"Dataset 1","Little noise",-0.179823308589214,-0.154301338292638
-0.166421836907424,-0.165891354445561,-0.166871073996492,0.000204376833879231,184,"Dataset 1","Little noise",-0.176640678601386,-0.156202995213462
-0.165610471356307,-0.164853996531909,-0.166156302009098,0.000262692563000377,185,"Dataset 1","Little noise",-0.178745099506326,-0.152475843206288
-0.164568484107281,-0.163907830660748,-0.165122535752823,0.000242631039799565,186,"Dataset 1","Little noise",-0.176700036097259,-0.152436932117303
-0.163827102059531,-0.163365676372995,-0.164464609128456,0.000276734452724156,187,"Dataset 1","Little noise",-0.177663824695739,-0.149990379423323
-0.163106235888238,-0.162601335848593,-0.163650918462026,0.000231052003611621,188,"Dataset 1","Little noise",-0.174658836068819,-0.151553635707657
-0.161946049178371,-0.161448769573624,-0.16244832083263,0.000220200397367887,189,"Dataset 1","Little noise",-0.172956069046765,-0.150936029309977
-0.161703480593528,-0.161272324141712,-0.162390394199463,0.000222521754473929,190,"Dataset 1","Little noise",-0.172829568317224,-0.150577392869832
-0.161100015589709,-0.160587246637453,-0.161563390167822,0.000237546146830216,191,"Dataset 1","Little noise",-0.17297732293122,-0.149222708248198
-0.160378688911938,-0.159621248374122,-0.161036870548688,0.000248249167220687,192,"Dataset 1","Little noise",-0.172791147272972,-0.147966230550904
-0.160353626191791,-0.159883807271485,-0.161046913088086,0.000273531749308324,193,"Dataset 1","Little noise",-0.174030213657207,-0.146677038726375
-0.159935529674777,-0.15936445841478,-0.160794907124577,0.000301634098976862,194,"Dataset 1","Little noise",-0.17501723462362,-0.144853824725934
-0.159344458927938,-0.15859261600446,-0.159851559951208,0.000233793172197145,195,"Dataset 1","Little noise",-0.171034117537795,-0.147654800318081
-0.158702477250864,-0.15815691692534,-0.159151068401283,0.000240661611425865,196,"Dataset 1","Little noise",-0.170735557822157,-0.146669396679571
-0.158077861473269,-0.157419546298742,-0.15881449807261,0.000264523682224609,197,"Dataset 1","Little noise",-0.171304045584499,-0.144851677362039
-0.157616727264209,-0.157143557322629,-0.158295035905522,0.000233951696730845,198,"Dataset 1","Little noise",-0.169314312100751,-0.145919142427667
-0.156738564441689,-0.156038430362597,-0.157316914985456,0.000254925435942327,199,"Dataset 1","Little noise",-0.169484836238805,-0.143992292644573
