"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.201784570038168,-0.201215588585239,-0.202291432531145,0.000252753916146653,31,"Dataset 1","Little noise",-0.214422265845501,-0.189146874230835
-0.204164225971875,-0.203632671351331,-0.204879584848873,0.00022989243568721,32,"Dataset 1","Little noise",-0.215658847756236,-0.192669604187514
-0.206501462914045,-0.205940740427534,-0.207151317423751,0.000215031711597851,33,"Dataset 1","Little noise",-0.217253048493938,-0.195749877334152
-0.208752716190633,-0.208157510655783,-0.20939845321937,0.000231711125936417,34,"Dataset 1","Little noise",-0.220338272487454,-0.197167159893812
-0.210012727651843,-0.209545142164361,-0.210774613451066,0.000242297885324248,35,"Dataset 1","Little noise",-0.222127621918055,-0.197897833385631
-0.212026420997473,-0.211295435419989,-0.212521049896633,0.000236002637349371,36,"Dataset 1","Little noise",-0.223826552864942,-0.200226289130004
-0.213426810457459,-0.212873353401383,-0.214038227740358,0.000238872652136832,37,"Dataset 1","Little noise",-0.225370443064301,-0.201483177850617
-0.214864000079779,-0.214375736433672,-0.215393542976409,0.000229374207544208,38,"Dataset 1","Little noise",-0.226332710456989,-0.203395289702569
-0.216142034182571,-0.215543644076065,-0.21660307998597,0.00024601711912843,39,"Dataset 1","Little noise",-0.228442890138992,-0.203841178226149
-0.216921470086721,-0.216417847802866,-0.217353525431948,0.000194958229737846,40,"Dataset 1","Little noise",-0.226669381573613,-0.207173558599829
-0.218445109274172,-0.217766968453159,-0.218999203432421,0.000273806690518509,41,"Dataset 1","Little noise",-0.232135443800097,-0.204754774748247
-0.21969430824081,-0.219081693737035,-0.220368622190151,0.000247658687733917,42,"Dataset 1","Little noise",-0.232077242627506,-0.207311373854114
-0.220272602886165,-0.219694667865211,-0.220651248547505,0.000222300057990244,43,"Dataset 1","Little noise",-0.231387605785677,-0.209157599986653
-0.220838125056798,-0.220370632720649,-0.221449723835034,0.000205279399845126,44,"Dataset 1","Little noise",-0.231102095049054,-0.210574155064542
-0.221726692292779,-0.221366237300212,-0.222439369231927,0.000246577182779211,45,"Dataset 1","Little noise",-0.23405555143174,-0.209397833153818
-0.222131819170191,-0.221518202798986,-0.222520083495187,0.000228279429280301,46,"Dataset 1","Little noise",-0.233545790634206,-0.210717847706176
-0.222923968579235,-0.222373274853882,-0.223509192411075,0.000256810318297226,47,"Dataset 1","Little noise",-0.235764484494096,-0.210083452664374
-0.223536304136282,-0.222821725526917,-0.224010999136349,0.00024196333920763,48,"Dataset 1","Little noise",-0.235634471096663,-0.211438137175901
-0.223820552935403,-0.223203926532412,-0.224374852510886,0.000203556346745204,49,"Dataset 1","Little noise",-0.233998370272663,-0.213642735598143
-0.224339265430633,-0.223842726389663,-0.224810134759339,0.000231663951635615,50,"Dataset 1","Little noise",-0.235922463012414,-0.212756067848852
-0.22461506012447,-0.224080405534973,-0.225041490298524,0.00017869375612908,51,"Dataset 1","Little noise",-0.233549747930924,-0.215680372318016
-0.224964838054701,-0.224510848211562,-0.225589039742134,0.000206998692487379,52,"Dataset 1","Little noise",-0.23531477267907,-0.214614903430332
